,5 digit NTD ID,agency_name,month_year,trips_num,VOMS,VRM,VRH,date_col,NTD ID,Agency,Mode VOMS_new,VOM_CAT
118,40032,County of Volusia,MAY02,214821.0,48.0,217858.0,14116.0,2002-05-01,40032,"County of Volusia, dba: VOTRAN",66,50-200 peak vehicles
119,40034,County of Miami-Dade ,MAY02,5431316.0,547.0,3261941.0,169936.0,2002-05-01,40034,"County of Miami-Dade, dba: Transportation & Public Work",749,greater than 200 peak vehicles
120,40035,Central Florida Regional Transportation Authority,MAY02,1764576.0,197.0,1053029.0,75806.0,2002-05-01,40035,Central Florida Regional Transportation Authority,267,greater than 200 peak vehicles
121,40036,City of Tallahassee,MAY02,259620.0,48.0,144418.0,11439.0,2002-05-01,40036,"City of Tallahassee, dba: StarMetro",57,50-200 peak vehicles
122,40037,"Board of County Commissioners, Palm Beach County",MAY02,557629.0,114.0,547957.0,34029.0,2002-05-01,40037,"Board of County Commissioners, Palm Beach County, dba: Palm Tran",119,50-200 peak vehicles
123,40038,"Escambia County Board of County Commissioners, FL",MAY02,117040.0,38.0,126232.0,8308.0,2002-05-01,40038,"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority",36,10-49 peak vehicles
124,40040,Jacksonville Transportation Authority,MAY02,683250.0,135.0,817805.0,49048.0,2002-05-01,40040,Jacksonville Transportation Authority,171,50-200 peak vehicles
125,40041,Hillsborough Area Regional Transit Authority,MAY02,683819.0,171.0,545306.0,44046.0,2002-05-01,40041,Hillsborough Area Regional Transit Authority,133,50-200 peak vehicles
126,40046,Sarasota County ,MAY02,134967.0,29.0,140760.0,9090.0,2002-05-01,40046,"Sarasota County, dba: Sarasota County Area Transit",51,50-200 peak vehicles
127,40063,Brevard Board of County Commissioners,MAY02,0.0,17.0,0.0,0.0,2002-05-01,40063,"Brevard Board of County Commissioners, dba: Space Coast Area Transit",39,10-49 peak vehicles
128,40074,Pasco County Board of County Commissioners,MAY02,33686.0,14.0,57259.0,3184.0,2002-05-01,40074,"Pasco County Board of County Commissioners, dba: Pasco County Public Transportation",23,10-49 peak vehicles
129,40077,South Florida Regional Transportation Authority,MAY02,0.0,0.0,0.0,0.0,2002-05-01,40077,"South Florida Regional Transportation Authority, dba: TRI-Rail",22,10-49 peak vehicles
130,40097,"Council on Aging of St. Lucie, Inc.",MAY02,0.0,0.0,0.0,0.0,2002-05-01,40097,"Council on Aging of St. Lucie, Inc., dba: Community Transit",13,10-49 peak vehicles
131,40104,Indian River County,MAY02,13000.0,8.0,18850.0,16900.0,2002-05-01,40104,Indian River County,15,10-49 peak vehicles
132,40120,"City of Ocala, Florida",MAY02,18105.0,5.0,26793.0,1636.0,2002-05-01,40120,"City of Ocala, Florida, dba: SunTran",7,1-9 peak vehicles
133,40128,Okaloosa County Board of County Commissioners,MAY02,2054.0,3.0,11935.0,748.0,2002-05-01,40128,"Okaloosa County Board of County Commissioners, dba: Emerald Coast Rider",10,10-49 peak vehicles
134,40140,Collier County,MAY02,0.0,0.0,0.0,0.0,2002-05-01,40140,"Collier County, dba: Collier Area Transit",22,10-49 peak vehicles
135,40146,Hernando County Board of County Commissioners,MAY02,0.0,0.0,0.0,0.0,2002-05-01,40146,"Hernando County Board of County Commissioners, dba: The Bus",7,1-9 peak vehicles
136,40155,"St Johns County, Florida",MAY02,0.0,0.0,0.0,0.0,2002-05-01,40155,"St Johns County, Florida, dba: Sunshine Bus Co.",9,1-9 peak vehicles
137,40158,Lake County Board of County Commissioners,MAY02,0.0,0.0,0.0,0.0,2002-05-01,40158,"Lake County Board of County Commissioners, dba: LakeXpress",10,10-49 peak vehicles
138,40185,Bay County Transportation Planning Organization,MAY02,0.0,0.0,0.0,0.0,2002-05-01,40185,Bay County Transportation Planning Organization,17,10-49 peak vehicles
139,40192,Martin County,MAY02,0.0,0.0,0.0,0.0,2002-05-01,40192,Martin County,12,10-49 peak vehicles
